<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20171216,010000,58.8987000,58.8987000,58.8987000,58.8987000,0
20171219,010000,58.6940000,58.6940000,58.6940000,58.6940000,0
20171220,010000,58.6117000,58.6117000,58.6117000,58.6117000,0
20171221,010000,58.7170000,58.7170000,58.7170000,58.7170000,0
20171222,010000,58.5596000,58.5596000,58.5596000,58.5596000,0
20171223,010000,58.3152000,58.3152000,58.3152000,58.3152000,0
20171226,010000,58.1989000,58.1989000,58.1989000,58.1989000,0
20171227,010000,57.7343000,57.7343000,57.7343000,57.7343000,0
20171228,010000,57.4544000,57.4544000,57.4544000,57.4544000,0
20171229,010000,57.6291000,57.6291000,57.6291000,57.6291000,0
20171230,010000,57.6002000,57.6002000,57.6002000,57.6002000,0
20180110,010000,57.0463000,57.0463000,57.0463000,57.0463000,0
20180111,010000,56.8734000,56.8734000,56.8734000,56.8734000,0
20180112,010000,56.9957000,56.9957000,56.9957000,56.9957000,0
20180113,010000,56.6019000,56.6019000,56.6019000,56.6019000,0
20180116,010000,56.3569000,56.3569000,56.3569000,56.3569000,0
20180117,010000,56.3878000,56.3878000,56.3878000,56.3878000,0
20180118,010000,56.5925000,56.5925000,56.5925000,56.5925000,0
20180119,010000,56.7597000,56.7597000,56.7597000,56.7597000,0
20180120,010000,56.5892000,56.5892000,56.5892000,56.5892000,0
20180123,010000,56.6261000,56.6261000,56.6261000,56.6261000,0
20180124,010000,56.4115000,56.4115000,56.4115000,56.4115000,0
20180125,010000,56.3888000,56.3888000,56.3888000,56.3888000,0
20180126,010000,55.9288000,55.9288000,55.9288000,55.9288000,0
20180127,010000,55.8288000,55.8288000,55.8288000,55.8288000,0
20180130,010000,56.2908000,56.2908000,56.2908000,56.2908000,0
20180131,010000,56.2914000,56.2914000,56.2914000,56.2914000,0
20180201,010000,56.1840000,56.1840000,56.1840000,56.1840000,0
20180202,010000,56.2613000,56.2613000,56.2613000,56.2613000,0
20180203,010000,56.0408000,56.0408000,56.0408000,56.0408000,0
20180206,010000,56.6278000,56.6278000,56.6278000,56.6278000,0
20180207,010000,57.2196000,57.2196000,57.2196000,57.2196000,0
20180208,010000,56.9533000,56.9533000,56.9533000,56.9533000,0
20180209,010000,57.6736000,57.6736000,57.6736000,57.6736000,0
20180210,010000,58.1718000,58.1718000,58.1718000,58.1718000,0
20180213,010000,58.0171000,58.0171000,58.0171000,58.0171000,0
20180214,010000,57.7701000,57.7701000,57.7701000,57.7701000,0
20180215,010000,57.5899000,57.5899000,57.5899000,57.5899000,0
20180216,010000,56.5918000,56.5918000,56.5918000,56.5918000,0
20180217,010000,56.3554000,56.3554000,56.3554000,56.3554000,0
20180220,010000,56.3438000,56.3438000,56.3438000,56.3438000,0
20180221,010000,56.5201000,56.5201000,56.5201000,56.5201000,0
20180222,010000,56.6537000,56.6537000,56.6537000,56.6537000,0
20180223,010000,56.7608000,56.7608000,56.7608000,56.7608000,0
20180227,010000,55.9208000,55.9208000,55.9208000,55.9208000,0
20180228,010000,55.6717000,55.6717000,55.6717000,55.6717000,0
20180301,010000,56.3742000,56.3742000,56.3742000,56.3742000,0
20180302,010000,56.4334000,56.4334000,56.4334000,56.4334000,0
20180303,010000,56.6616000,56.6616000,56.6616000,56.6616000,0
20180306,010000,57.1000000,57.1000000,57.1000000,57.1000000,0
20180307,010000,56.5041000,56.5041000,56.5041000,56.5041000,0
20180308,010000,56.8011000,56.8011000,56.8011000,56.8011000,0
20180313,010000,56.6122000,56.6122000,56.6122000,56.6122000,0
20180314,010000,56.9359000,56.9359000,56.9359000,56.9359000,0
20180315,010000,56.9372000,56.9372000,56.9372000,56.9372000,0
20180316,010000,57.0188000,57.0188000,57.0188000,57.0188000,0
